Title,Score,Num_reviews,Age,Pages,Language,Price_tapa_dura,Price_tapa_blanda,Price_Kindle
Emocionario (SIN COLECCION),4.7,1378.0, 5 anos ou mais,96.0,Español,,,
"Eres una Chica Increíble: Un libro infantil especial sobre la valentía, la fuerza interior y la autoestima para niñas maravillosas como tú",4.7,223.0, 7 - 9 anos,105.0,Español,,,
Aprender a leer en la Escuela de Monstruos 8 - Emociones de colores: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.9,135.0, 4 - 5 anos,48.0,,,,
Atlas de fútbol (SIN COLECCION),4.5,245.0, 8 - 10 anos,96.0,Español,,,
Pepo y su orinal (Castellano - A PARTIR DE 0 AÑOS - PROYECTO DE 0 A 3 AÑOS - Libros emocionales),4.6,1327.0, 2 anos ou mais,32.0,Español,7.7,0.0,0.0
Los Once 5. El lateral izquierdo más rápido del mundo,4.0,2.0,9 anos ou mais,320.0,,0.0,12.3,6.64
"El libro dejachupetes (Grandes pasitos. Álbum ilustrado) (Emociones, valores y hábitos)",4.4,363.0, 2 - 3 anos,24.0,,9.64,0.0,4.74
101 casos extraordinarios para resolver en 5 minutos (Serie ¿Quién ha sido? 1),4.5,1291.0, 7 - 10 anos,192.0,,0.0,12.54,0.0
ARTA y la invasión máxima (Arta Game 2) (Lo más visto),4.7,585.0, 8 - 11 anos,192.0,,,,
El tesoro del pirata: En letra MAYÚSCULA y de imprenta: libros para niños de 5 y 6 años (Aprender a leer en letra MAYÚSCULA e imprenta),4.5,1352.0, 4 - 6 anos,24.0,Español,,,
Amanda Black 1 - Una herencia peligrosa (Escritura desatada),4.8,930.0, 9 - 11 anos,192.0,,,,
Policán 4: Policán y Chikigato: Polican y Chikigato,4.9,282.0, 6 - 9 anos,256.0,,0.0,0.0,6.64
Anna Kadabra 11. La feria de las sombras,4.7,52.0,6 anos ou mais,128.0,,0.0,0.0,6.64
Aprender a leer en la Escuela de Monstruos 10 - Dame helado o me deshago: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),4.7,18.0,4 anos ou mais,48.0,,0.0,0.0,3.32
Unicornia 3 - Un reto mágico (Montena),4.8,109.0,7 - 8 anos,128.0,,0.0,0.0,5.69
Anna Kadabra 5. La Isla de las Mascotas,4.8,496.0, 6 - 9 anos,128.0,,0.0,0.0,0.0
Animales (Mi primer libro con solapas),4.6,91.0, 1 ano ou mais,12.0,Español,,,
Tu cuerpo mola: Aprende a descubrirlo (Menstruita),4.7,181.0, 8 - 12 anos,160.0,,0.0,0.0,6.64
"JUEGOS Y PASATIEMPOS PARA NIÑOS 4-7 AÑOS: +140 JUEGOS EN COLOR. Lógica y enigmas, crucigramas, laberintos, intrusos, diferencias, rompecabezas, une los puntos y mucho más!",4.5,12.0,2 - 11 anos,94.0,Español,0.0,10.6,0.0
Enciclopedia Pokémon (Colección Pokémon),4.6,47.0,7 anos ou mais,336.0,Español,,,
Compas 8. Los Compas y la aventura en miniatura (4You2),4.8,316.0, 8 - 10 anos,224.0,,0.0,0.0,0.0
Policán 2: Situación desesperrada,4.8,381.0, 6 - 8 anos,232.0,,0.0,0.0,6.64
1 Chiste por día - 366 chistes para leer en familia: Chistes infantiles de humor apto para niños y niñas. Divertidos y fáciles de entender para echar ... (Un día sin una sonrisa es un día perdido),4.4,874.0, 6 - 9 anos,132.0,,0.0,0.0,0.0
Unicornia 4 - Unos cupcakes increíbles (Montena),4.7,46.0,7 - 10 anos,128.0,,0.0,0.0,5.69
A veces mamá tiene truenos en la cabeza: 132 (Álbumes ilustrados),4.8,524.0, 3 - 6 anos,24.0,Español,15.95,0.0,0.0
La Historia Interminable (Alfaguara Clásicos),4.7,1267.0, 9 anos ou mais,496.0,Español,0.0,0.0,0.0
Policán 10: Madres Borrascosas,5.0,24.0,6 - 9 anos,224.0,,12.09,0.0,6.64
"De mayor quiero ser... feliz 2: 6 cuentos cortos para potenciar la positividad y autoestima de los niños (Emociones, valores y hábitos)",4.8,846.0, 4 - 7 anos,128.0,,0.0,0.0,6.64
Un cuento para cada letra. Aprende las 29 letras y sonidos del abecedario (Cuentos de letras),4.7,594.0, 3 - 5 anos,360.0,Español,19.31,0.0,0.0
Las aventuras de Dani y Evan 7. La puerta del tiempo (Jóvenes influencers),4.7,43.0,6 anos ou mais,144.0,,12.54,0.0,6.64
Elmer. Libro de cartón - Mi primer Elmer (Pequeñas manitas),4.7,262.0, 1 - 2 anos,10.0,,0.0,10.6,0.0
Cuaderno de Caligrafía Anti-Aburrimiento con Pauta Montessori: Libro de Caligrafía Divertida con Adivinanzas en Letra Ligada Escolar para Niños y Niñas de Primaria.,4.6,110.0,0 - 11 anos,110.0,Español,0.0,7.12,0.0
Compas 1. Los Compas y el diamantito legendario (nueva presentación) (4You2),4.7,4460.0, 7 - 10 anos,240.0,,0.0,0.0,0.0
Cuentos Clásicos (Cuentos clásicos con pictogramas) [Español],4.5,2551.0, 2 - 5 anos,24.0,Inglés,2.8,0.0,0.0
A dormir con Ted: 1 (Mi amigo Ted),4.4,76.0, 1 - 3 anos,10.0,Español,,,
"Nunca Dejes de Soñar: Historias inspiradoras de chicos únicos y maravillosos sobre el valor, la confianza en sí mismos y el potencial que encierran ... sueños (Libros Motivadores para Niños)",4.5,428.0, 6 - 9 anos,109.0,,,,
Cuentos Clásicos (Cuentos clásicos con pictogramas),4.6,1007.0, 2 - 5 anos,24.0,Español,2.8,0.0,0.0
Cuentos Clásicos (Cuentos clásicos con pictogramas),4.6,1007.0, 2 - 5 anos,24.0,Español,2.8,0.0,0.0
Diario de Greg 2 : la ley de Rodrick (Universo Diario de Greg),4.7,2181.0, 9 - 12 anos,240.0,,0.0,0.0,6.64
El día que se perdió la cordura (Best Seller),4.0,14676.0,1 ano ou mais,456.0,,,,
Unicornios (Mi primer libro de pegatinas),4.5,168.0, 2 - 4 anos,8.0,Español,0.0,1.98,0.0
Isadora Moon va de excursión (Isadora Moon 2): ¡Un libro mágico con purpurina en cubierta! (Harriet Muncaster),4.8,760.0,,0.0,,,,
