,Palavra,frequência
683,cá,786
527,plano,786
1773,pena,785
376,dr,784
399,tinha,784
4836,s,783
1789,pôde,782
1035,poder,782
2669,ministro,780
716,dava,779
1335,primeiros,777
62430,gilliatt,776
279,velha,776
2842,cerca,775
760,boca,775
3010,caminho,771
4774,conta,769
1305,via,768
2349,vontade,767
2464,princípio,764
884,corpo,763
3596,tais,761
1087,resto,759
1238,também,752
1117,passo,751
2110,cena,750
2184,final,744
773,versos,742
1053,passar,741
1076,sociedade,740
1154,só,740
772,sabia,740
117,ler,734
392,guerra,734
2746,contrário,733
1752,ordem,733
404,filhos,732
1095,carro,730
182,quarto,728
629,vinha,726
1271,meia,725
99,questão,724
2826,moço,724
14069,após,723
607,certa,722
6433,acordo,721
262,brasileira,721
789,quê,718
69,ação,715
8701,banco,714
2916,ouvir,712
1916,janela,711
6952,polícia,705
696,ela,704
1648,sentimento,702
1579,maneira,701
2157,amanhã,701
4319,carlos,699
2518,fundo,698
59698,rubião,696
230,assunto,694
2012,ato,693
6582,fato,692
3308,partir,691
6643,jogo,686
1018,espécie,685
2373,viagem,684
2554,acabou,683
1425,motivo,682
1980,ouviu,678
1744,cartas,674
907,único,671
1810,livros,670
1475,música,669
1608,lágrimas,668
158,nesse,667
11541,local,666
3659,bela,665
6955,povo,664
1413,esperança,664
3632,sistema,663
1,contos,663
2678,desejo,661
1513,feliz,661
342,felicidade,659
1623,idade,656
3012,peça,656
704,oito,655
4517,preço,654
1098,movimento,654
192,poesia,653
6046,projeto,648
88,flor,647
3396,alguém,646
1350,atenção,645
3343,tendo,645
953,doutor,645
4991,especial,644
1793,impossível,644
1683,casar,644
4509,tempos,642
3521,graça,641
210,vir,638
15867,preços,638
3286,memória,637
2466,tio,636
958,vale,636
2774,alta,634
142,fala,634
302,jornal,633
934,pés,632
486,consigo,631
4,texto,630
1124,poucos,630
2146,falou,629
10693,1,628
699,levantou,627
10560,20,624
1334,recebeu,623
985,pareceu,622
51998,oliver,621
948,poderia,619
12712,alves,618
363,visto,617
1835,valor,617
542,dor,617
3939,crer,616
1208,difícil,615
86,sangue,614
1967,alto,614
490,realmente,612
3701,dizem,609
1461,cara,608
173,feita,604
4744,medo,603
2357,geral,603
3907,posto,603
1504,morrer,602
2262,obras,601
4042,criança,601
2857,senão,600
2248,sete,599
414,expressão,599
763,daquele,599
2832,irmão,596
20415,brasileiro,596
1966,do,596
1093,companhia,595
340,necessidade,595
3119,até,593
2333,alegre,593
1633,acho,591
1039,igreja,590
1888,única,590
6714,uso,589
9860,2,589
291,interesse,588
926,disso,586
316,30,586
14400,processo,585
4027,pediu,584
4215,las,583
4177,língua,583
3456,perto,583
3465,talento,582
11342,sul,582
152,figura,581
1210,chegar,581
2445,conselho,579
4044,pequeno,578
565,daquela,577
2673,justiça,577
3314,europa,577
531,espaço,574
1685,dúvida,574
3092,chão,574
2098,está,574
1260,pensamento,573
3006,15,573
1407,corte,573
18286,afirmou,570
4312,título,569
3872,eis,568
1079,achava,567
2840,morreu,567
2338,deixa,565
3754,da,563
3196,basta,563
14089,empresas,563
5088,campo,562
804,sentido,562
1619,relação,561
2437,pedir,561
863,conversa,559
2990,últimos,557
3842,ouvi,556
836,longo,555
4552,carlota,555
3848,partido,555
231,escrever,555
901,resultado,554
4628,paz,553
1684,sem,552
668,braços,551
2332,desse,551
2275,somente,550
3313,forte,550
2535,iam,547
9788,nomes,547
7540,coronel,544
4810,principal,544
2113,clara,543
383,paixão,542
1422,consciência,542
7068,cima,541
109,liberdade,541
1706,espera,540
1947,frente,540
1695,meu,539
9080,crianças,539
3437,presente,539
700,justamente,538
5295,através,536
584,naquele,536
9751,produção,535
2256,criado,535
755,menor,534
2109,contar,533
4008,você,531
6184,entre,531
131,devem,530
1721,claro,530
3542,escola,530
3787,estilo,529
8657,campanha,528
41300,estácio,526
4393,glória,525
116,cor,524
12213,social,524
4157,candidato,524
1358,diferença,523
6094,emília,523
290,perder,523
373,quais,522
77,dado,522
659,costume,522
2771,diabo,522
2805,prova,521
2559,cair,520
7630,santos,519
1812,deputado,519
176,amiga,519
5842,domingo,519
1141,fortuna,518
2336,trata,518
2420,naquela,517
2815,depressa,517
1510,pergunta,517
426,flores,516
7377,ouro,515
485,levou,514
3433,igual,513
2162,impressão,513
1840,diga,513
4797,realidade,512
669,alegria,512
1819,passa,510
676,pequena,509
456,capital,509
4404,pública,509
1529,tornou,509
1593,abriu,509
1021,fazem,507
4256,novos,507
2544,sentia,506
2613,discurso,506
2501,major,505
3443,tem,503
5890,imagem,503
3875,vá,502
6292,santa,502
4194,achar,501
95,vento,500
11963,pontos,500
1429,sra,500
96,umas,499
6107,tito,499
5759,trazia,499
3069,dito,498
2364,comum,498
1753,voltar,498
4863,andar,497
5658,sob,497
66433,equipe,497
1800,novas,496
561,sentimentos,496
3598,moral,496
4126,traz,494
987,grave,493
1258,olhou,491
472,acima,490
25,soares,489
364,apareceu,489
43672,félix,487
35351,ilustrada,483
559,afinal,483
4313,próximo,481
49496,esporte,481
320,levar,481
3487,saúde,480
5472,atrás,480
3141,isto,480
1941,fazendo,479
3673,rei,478
1378,casos,477
4288,essa,477
2286,isso,476
66124,cr$,476
2227,livre,473
3905,diretor,473
1914,jardim,473
7145,capitão,472
3085,irmã,471
2123,aliás,470
29180,média,470
4532,fazenda,470
592,vitória,470
938,capaz,469
247,chapéu,469
4761,pior,468
1770,estudo,467
3136,esperar,467
7006,afirma,467
1224,fácil,465
3260,crime,465
1878,viver,465
327,réis,465
2177,comédia,465
1487,falava,465
421,daqui,464
943,período,464
1645,nesta,464
731,baixo,462
15295,fernando,462
3994,10,462
674,cadeira,461
2060,cama,461
1304,soube,460
17146,julho,459
2865,luta,458
2482,lembra,458
42282,time,457
4266,norte,457
6899,centro,456
2020,adeus,456
2802,negócio,454
524,cuja,454
1807,vendo,453
831,pôs,453
5280,mostra,453
2335,és,452
1091,tomar,452
6392,estados,451
2461,ti,451
9805,imagens,450
6270,semanas,450
37,linha,449
3325,países,449
1921,sentiu,449
1814,prima,449
2042,mau,449
1506,posição,449
875,intenção,449
3689,cujo,448
1059,verdadeira,448
3494,longa,446
1787,drama,446
6481,esse,445
8914,eduardo,445
707,beleza,444
899,caráter,444
